JTT+FC+BU{0.219547}, partition_0 = 1-2469
JTT+FC+BU{1.766236}, partition_1 = 2470-3141
LG+FC+BU{0.324026}, partition_2 = 3142-3356
JTT+FC+BU{0.491190}, partition_3 = 3357-4416
JTT+FC+BU{0.387030}, partition_4 = 4417-4961
JTT-DCMUT+FC+BU{0.776506}, partition_5 = 4962-5895
JTT+FC+BU{0.785092}, partition_6 = 5896-6135
JTT+FC+BU{1.400591}, partition_7 = 6136-6787
JTT+BU{1.683000}, partition_8 = 6788-7134
JTT+FC+BU{0.315719}, partition_9 = 7135-8731
FLU+FC+BU{0.297046}, partition_10 = 8732-8804
JTT+FC+BU{0.181297}, partition_11 = 8805-9664
LG+FC+BU{1.092159}, partition_12 = 9665-9965
JTT-DCMUT+FC+BU{2.591617}, partition_13 = 9966-10300
JTT+FC+BU{0.416079}, partition_14 = 10301-10674
JTT+FC+BU{1.882312}, partition_15 = 10675-10948
JTT+BU{0.684470}, partition_16 = 10949-11308
JTT+FC+BU{1.699380}, partition_17 = 11309-11948
MTZOA+FC+BU{0.320696}, partition_18 = 11949-12169
LG+FC+BU{0.730310}, partition_19 = 12170-12532
LG+FC+BU{1.752835}, partition_20 = 12533-12788
JTT+FC+BU{0.352666}, partition_21 = 12789-13352
JTT+FC+BU{2.442846}, partition_22 = 13353-13588
JTT-DCMUT+FC+BU{1.567979}, partition_23 = 13589-13901
JTT+FC+BU{2.007247}, partition_24 = 13902-14332
JTT+FC+BU{1.892125}, partition_25 = 14333-14692
WAG+BU{2.329986}, partition_26 = 14693-15033
JTT-DCMUT+FC+BU{1.021680}, partition_27 = 15034-15716
JTT+FC+BU{0.204195}, partition_28 = 15717-16891
JTT+FC+BU{1.173963}, partition_29 = 16892-17345
JTT+FC+BU{0.691760}, partition_30 = 17346-18469
JTT+FC+BU{1.190012}, partition_31 = 18470-19217
MTZOA+FC+BU{0.855805}, partition_32 = 19218-19851
JTT-DCMUT+FC+BU{0.946451}, partition_33 = 19852-20615
JTT-DCMUT+FC+BU{1.332253}, partition_34 = 20616-21124
JTT-DCMUT+FC+BU{1.506939}, partition_35 = 21125-21430
JTT+FC+BU{0.805071}, partition_36 = 21431-21638
JTT-DCMUT+FC+BU{0.861727}, partition_37 = 21639-22130
JTT+FC+BU{1.722530}, partition_38 = 22131-22909
JTT+FC+BU{0.458218}, partition_39 = 22910-23848
LG+FC+BU{0.962180}, partition_40 = 23849-24133
DAYHOFF+FC+BU{1.137980}, partition_41 = 24134-24870
JTT+FC+BU{0.508125}, partition_42 = 24871-25386
JTT+FC+BU{0.152729}, partition_43 = 25387-25770
JTT+FC+BU{0.485587}, partition_44 = 25771-25982
JTT-DCMUT+FC+BU{0.571721}, partition_45 = 25983-26540
JTT+FC+BU{0.492573}, partition_46 = 26541-27079
JTT+FC+BU{0.773359}, partition_47 = 27080-27861
JTT-DCMUT+FC+BU{1.332524}, partition_48 = 27862-28762
JTT+FC+BU{1.139744}, partition_49 = 28763-29299
JTT-DCMUT+FC+BU{1.341364}, partition_50 = 29300-29701
JTT+FC+BU{1.831671}, partition_51 = 29702-30317
JTT+BU{0.889035}, partition_52 = 30318-30612
JTT+FC+BU{1.788927}, partition_53 = 30613-31055
FLU+FC+BU{3.318552}, partition_54 = 31056-31958
JTT+FC+BU{2.255479}, partition_55 = 31959-32451
JTT+FC+BU{2.025183}, partition_56 = 32452-33533
MTMAM+FC+BU{1.698053}, partition_57 = 33534-33999
JTT+BU{0.775937}, partition_58 = 34000-34404
JTT+FC+BU{0.696069}, partition_59 = 34405-34881
JTT+FC+BU{0.691108}, partition_60 = 34882-35985
DAYHOFF+FC+BU{0.158919}, partition_61 = 35986-36380
JTT+FC+BU{0.623411}, partition_62 = 36381-36837
HIVB+FC+BU{0.309956}, partition_63 = 36838-37225
JTT-DCMUT+FC+BU{1.740900}, partition_64 = 37226-37707
JTT+FC+BU{1.136880}, partition_65 = 37708-37942
JTT-DCMUT+FC+BU{1.531777}, partition_66 = 37943-38156
JTT+FC+BU{1.512509}, partition_67 = 38157-38631
JTT+FC+BU{0.425790}, partition_68 = 38632-39779
JTT-DCMUT+FC+BU{0.814128}, partition_69 = 39780-40495
HIVB+FC+BU{2.281046}, partition_70 = 40496-41006
JTT-DCMUT+FC+BU{1.444576}, partition_71 = 41007-41654
JTT-DCMUT+FC+BU{0.915831}, partition_72 = 41655-42074
JTT+FC+BU{1.597271}, partition_73 = 42075-42395
JTT-DCMUT+BU{0.653238}, partition_74 = 42396-42907
JTT+FC+BU{0.875471}, partition_75 = 42908-43315
JTT+FC+BU{0.160714}, partition_76 = 43316-43839
JTT+FC+BU{1.327428}, partition_77 = 43840-44258
JTT-DCMUT+FC+BU{1.156889}, partition_78 = 44259-44697
JTT+FC+BU{0.224724}, partition_79 = 44698-45550
JTT-DCMUT+FC+BU{0.844865}, partition_80 = 45551-46451
JTT+FC+BU{0.953199}, partition_81 = 46452-46729
JTT+FC+BU{1.761377}, partition_82 = 46730-47308
JTT+FC+BU{0.126738}, partition_83 = 47309-48151
JTT-DCMUT+FC+BU{1.254214}, partition_84 = 48152-48654
JTT+FC+BU{0.523977}, partition_85 = 48655-49388
LG+FC+BU{2.110364}, partition_86 = 49389-49822
JTT-DCMUT+FC+BU{2.030012}, partition_87 = 49823-50148
CPREV+FC+BU{0.681334}, partition_88 = 50149-50616
JTT+FC+BU{0.506491}, partition_89 = 50617-50993
JTT-DCMUT+FC+BU{0.242115}, partition_90 = 50994-51347
HIVB+FC+BU{1.373907}, partition_91 = 51348-52543
JTT+FC+BU{0.761178}, partition_92 = 52544-53065
JTT+FC+BU{0.916647}, partition_93 = 53066-53636
JTT+FC+BU{0.676349}, partition_94 = 53637-53963
JTT+FC+BU{1.216286}, partition_95 = 53964-54407
JTT-DCMUT+FC+BU{2.406296}, partition_96 = 54408-55142
JTT+FC+BU{0.910143}, partition_97 = 55143-55888
HIVB+FC+BU{0.890607}, partition_98 = 55889-56693
JTT-DCMUT+FC+BU{0.464598}, partition_99 = 56694-57070
JTT+FC+BU{2.130071}, partition_100 = 57071-57636
JTT-DCMUT+FC+BU{1.327330}, partition_101 = 57637-57951
JTT+FC+BU{0.598856}, partition_102 = 57952-58344
LG+FC+BU{0.806936}, partition_103 = 58345-58724
DAYHOFF+FC+BU{0.072784}, partition_104 = 58725-59113
JTT+FC+BU{1.021993}, partition_105 = 59114-59791
JTT+FC+BU{0.627082}, partition_106 = 59792-60184
JTT+FC+BU{0.602194}, partition_107 = 60185-61273
DAYHOFF+FC+BU{0.071945}, partition_108 = 61274-62143
JTT-DCMUT+FC+BU{1.408104}, partition_109 = 62144-62835
JTT-DCMUT+FC+BU{0.608165}, partition_110 = 62836-63561
WAG+FC+BU{0.414550}, partition_111 = 63562-64066
JTT-DCMUT+FC+BU{0.783864}, partition_112 = 64067-64454
MTZOA+FC+BU{0.449845}, partition_113 = 64455-64848
HIVB+FC+BU{1.180473}, partition_114 = 64849-65200
JTT-DCMUT+FC+BU{1.346530}, partition_115 = 65201-65427
JTT+FC+BU{1.571056}, partition_116 = 65428-66547
JTT+FC+BU{1.225293}, partition_117 = 66548-67337
JTT+FC+BU{1.359415}, partition_118 = 67338-67602
MTZOA+FC+BU{0.265412}, partition_119 = 67603-68110
JTT+FC+BU{0.642219}, partition_120 = 68111-68757
JTT-DCMUT+FC+BU{0.912327}, partition_121 = 68758-69431
JTT-DCMUT+FC+BU{1.015045}, partition_122 = 69432-69663
JTT-DCMUT+FC+BU{0.950239}, partition_123 = 69664-69915
JTT-DCMUT+FC+BU{1.764934}, partition_124 = 69916-70384
JTT-DCMUT+FC+BU{0.632583}, partition_125 = 70385-70734
JTT+FC+BU{1.186992}, partition_126 = 70735-71631
JTT+FC+BU{1.013944}, partition_127 = 71632-72666
LG+BU{1.019082}, partition_128 = 72667-73068
JTT-DCMUT+FC+BU{0.992439}, partition_129 = 73069-73749
LG+FC+BU{1.542162}, partition_130 = 73750-74150
HIVB+FC+BU{0.093172}, partition_131 = 74151-74367
JTT+FC+BU{0.747632}, partition_132 = 74368-74709
JTT+FC+BU{1.904196}, partition_133 = 74710-75102
JTT+FC+BU{2.175634}, partition_134 = 75103-76101
JTT-DCMUT+FC+BU{1.192617}, partition_135 = 76102-76419
JTT+FC+BU{0.342253}, partition_136 = 76420-76918
LG+FC+BU{1.505338}, partition_137 = 76919-77281
JTT-DCMUT+FC+BU{0.840961}, partition_138 = 77282-77682
JTT+FC+BU{1.668157}, partition_139 = 77683-77901
JTT+FC+BU{1.215168}, partition_140 = 77902-78645
JTT+FC+BU{1.444831}, partition_141 = 78646-79069
DAYHOFF+FC+BU{0.458309}, partition_142 = 79070-79297
JTT+FC+BU{0.310365}, partition_143 = 79298-79800
JTT-DCMUT+BU{0.837409}, partition_144 = 79801-80181
JTT-DCMUT+FC+BU{0.337431}, partition_145 = 80182-80433
JTT+FC+BU{1.064600}, partition_146 = 80434-80900
JTT+FC+BU{0.280038}, partition_147 = 80901-81195
JTT-DCMUT+FC+BU{1.020191}, partition_148 = 81196-81499
JTT+FC+BU{2.180322}, partition_149 = 81500-82497
LG+FC+BU{0.870638}, partition_150 = 82498-83214
JTT+FC+BU{1.561123}, partition_151 = 83215-83580
JTT+FC+BU{2.691791}, partition_152 = 83581-83961
JTT+FC+BU{0.268061}, partition_153 = 83962-84384
JTT-DCMUT+FC+BU{0.838230}, partition_154 = 84385-85379
JTT-DCMUT+FC+BU{0.213720}, partition_155 = 85380-86359
JTT-DCMUT+FC+BU{1.841603}, partition_156 = 86360-86873
HIVB+FC+BU{1.614026}, partition_157 = 86874-87199
JTT+FC+BU{0.693278}, partition_158 = 87200-87620
JTT-DCMUT+FC+BU{0.656520}, partition_159 = 87621-87931
JTT+FC+BU{1.730704}, partition_160 = 87932-88428
JTT-DCMUT+FC+BU{2.425707}, partition_161 = 88429-88665
JTT+FC+BU{0.265499}, partition_162 = 88666-89463
JTT-DCMUT+FC+BU{1.184215}, partition_163 = 89464-89812
JTT+FC+BU{1.665180}, partition_164 = 89813-90084
JTT-DCMUT+FC+BU{1.157284}, partition_165 = 90085-90433
LG+FC+BU{1.752759}, partition_166 = 90434-90739
JTT-DCMUT+FC+BU{0.373700}, partition_167 = 90740-91052
JTT+FC+BU{1.635147}, partition_168 = 91053-91517
JTT+FC+BU{1.289507}, partition_169 = 91518-92239
JTT+FC+BU{0.388072}, partition_170 = 92240-93471
JTT+FC+BU{0.338385}, partition_171 = 93472-94365
JTT+FC+BU{0.305213}, partition_172 = 94366-94701
MTZOA+FC+BU{0.879153}, partition_173 = 94702-95031
JTT+FC+BU{1.413850}, partition_174 = 95032-95492
JTT+FC+BU{0.851094}, partition_175 = 95493-95883
JTT+FC+BU{0.614976}, partition_176 = 95884-96233
JTT+FC+BU{0.597369}, partition_177 = 96234-96658
JTT+FC+BU{1.913399}, partition_178 = 96659-96970
JTT-DCMUT+FC+BU{1.713227}, partition_179 = 96971-97384
HIVB+FC+BU{1.665255}, partition_180 = 97385-98079
JTT+FC+BU{0.293690}, partition_181 = 98080-98912
MTZOA+FC+BU{0.221956}, partition_182 = 98913-99124
JTT-DCMUT+FC+BU{0.220463}, partition_183 = 99125-99496
JTT+BU{0.925957}, partition_184 = 99497-99798
JTT+FC+BU{0.849621}, partition_185 = 99799-100319
JTT+FC+BU{0.847883}, partition_186 = 100320-100617
LG+FC+BU{1.273747}, partition_187 = 100618-101101
JTT-DCMUT+FC+BU{0.412195}, partition_188 = 101102-101677
JTT-DCMUT+FC+BU{0.038195}, partition_189 = 101678-101984
LG+FC+BU{0.910484}, partition_190 = 101985-102273
LG+FC+BU{0.838955}, partition_191 = 102274-103066
JTT+FC+BU{1.466064}, partition_192 = 103067-103439
JTT+FC+BU{1.016680}, partition_193 = 103440-104257
MTZOA+FC+BU{0.367379}, partition_194 = 104258-105144
JTT+FC+BU{1.618142}, partition_195 = 105145-106271
JTT-DCMUT+FC+BU{0.846037}, partition_196 = 106272-106602
JTT+FC+BU{0.806560}, partition_197 = 106603-106829
LG+FC+BU{0.710584}, partition_198 = 106830-107729
JTT+FC+BU{2.365995}, partition_199 = 107730-108261
JTT+FC+BU{1.765383}, partition_200 = 108262-108488
JTT+FC+BU{0.338105}, partition_201 = 108489-108757
JTT+FC+BU{1.328394}, partition_202 = 108758-109072
MTZOA+FC+BU{0.860186}, partition_203 = 109073-109498
JTT+FC+BU{1.024816}, partition_204 = 109499-109857
JTT+BU{1.033765}, partition_205 = 109858-110107
JTT-DCMUT+FC+BU{0.178335}, partition_206 = 110108-111212
JTT-DCMUT+FC+BU{0.525836}, partition_207 = 111213-112481
JTT+FC+BU{0.478872}, partition_208 = 112482-113315
JTT+FC+BU{0.610636}, partition_209 = 113316-114186
LG+BU{0.612893}, partition_210 = 114187-114685
JTT+FC+BU{0.372449}, partition_211 = 114686-115370
MTZOA+FC+BU{0.907761}, partition_212 = 115371-115755
JTT+FC+BU{0.743741}, partition_213 = 115756-116337
JTT+FC+BU{1.387411}, partition_214 = 116338-116739
JTT+BU{1.639048}, partition_215 = 116740-117345
MTZOA+FC+BU{0.966679}, partition_216 = 117346-117794
JTT+FC+BU{1.086901}, partition_217 = 117795-118969
JTT+FC+BU{0.669033}, partition_218 = 118970-119642
MTREV+FC+BU{0.702250}, partition_219 = 119643-119804
JTT+FC+BU{1.262794}, partition_220 = 119805-120632
JTT+FC+BU{1.257223}, partition_221 = 120633-121107
JTT-DCMUT+FC+BU{0.779639}, partition_222 = 121108-122010
LG+FC+BU{0.777866}, partition_223 = 122011-122479
MTZOA+FC+BU{1.764664}, partition_224 = 122480-122724
JTT+BU{1.034904}, partition_225 = 122725-123026
JTT+FC+BU{1.324037}, partition_226 = 123027-123681
JTT+FC+BU{0.459147}, partition_227 = 123682-124290
LG+FC+BU{1.155076}, partition_228 = 124291-124690
JTT+FC+BU{0.780055}, partition_229 = 124691-125804
JTT+FC+BU{0.802099}, partition_230 = 125805-126360
JTT+FC+BU{0.341147}, partition_231 = 126361-127302
JTT+FC+BU{0.281872}, partition_232 = 127303-127822
JTT+FC+BU{1.891847}, partition_233 = 127823-128388
JTT+FC+BU{0.738212}, partition_234 = 128389-128716
JTT-DCMUT+FC+BU{1.639857}, partition_235 = 128717-129117
LG+FC+BU{0.850548}, partition_236 = 129118-129638
JTT+FC+BU{1.291135}, partition_237 = 129639-130723
JTT-DCMUT+FC+BU{1.397891}, partition_238 = 130724-131131
LG+FC+BU{1.166211}, partition_239 = 131132-131676
CPREV+FC+BU{1.318851}, partition_240 = 131677-132093
JTT+FC+BU{0.574225}, partition_241 = 132094-132491
MTZOA+FC+BU{0.099806}, partition_242 = 132492-132750
LG+FC+BU{1.004979}, partition_243 = 132751-133129
JTT-DCMUT+FC+BU{0.871436}, partition_244 = 133130-133461
LG+FC+BU{0.373497}, partition_245 = 133462-133829
JTT+FC+BU{0.578766}, partition_246 = 133830-134245
JTT+FC+BU{1.707469}, partition_247 = 134246-134579
JTT+FC+BU{0.508104}, partition_248 = 134580-135084
JTT+FC+BU{2.013276}, partition_249 = 135085-135550
JTT+FC+BU{1.767678}, partition_250 = 135551-136156
MTZOA+FC+BU{0.516078}, partition_251 = 136157-136520
JTT+FC+BU{0.466212}, partition_252 = 136521-137798
JTT+FC+BU{1.594200}, partition_253 = 137799-138160
JTT-DCMUT+FC+BU{1.201382}, partition_254 = 138161-138597
JTT+FC+BU{2.126540}, partition_255 = 138598-138969
LG+FC+BU{1.552272}, partition_256 = 138970-139325
JTT+FC+BU{0.495845}, partition_257 = 139326-139776
