MTZOA+FC+BU{0.317122}, partition_105 = 57249-57752
JTT-DCMUT+FC+BU{1.151256}, partition_106 = 57753-58411
JTT-DCMUT+FC+BU{1.172071}, partition_107 = 58412-58635
JTT+FC+BU{2.118783}, partition_108 = 58636-59230
JTT-DCMUT+FC+BU{0.970311}, partition_109 = 59231-59479
JTT-DCMUT+FC+BU{2.283212}, partition_110 = 59480-59948
JTT+FC+BU{1.095802}, partition_111 = 59949-60818
JTT-DCMUT+FC+BU{0.796564}, partition_112 = 60819-61162
JTT+FC+BU{0.783120}, partition_113 = 61163-61579
JTT+FC+BU{0.757269}, partition_114 = 61580-61872
LG+BU{1.218210}, partition_115 = 61873-62265
LG+FC+BU{1.707154}, partition_116 = 62266-62520
JTT-DCMUT+FC+BU{1.225721}, partition_117 = 62521-63195
LG+FC+BU{1.866492}, partition_118 = 63196-63593
WAG+BU{2.587923}, partition_119 = 63594-63935
HIVB+FC+BU{0.107462}, partition_120 = 63936-64150
JTT-DCMUT+FC+BU{2.354203}, partition_121 = 64151-64533
JTT+FC+BU{0.730330}, partition_122 = 64534-65177
LG+FC+BU{1.317036}, partition_123 = 65178-65615
JTT+FC+BU{0.438497}, partition_124 = 65616-66108
JTT+FC+BU{0.879658}, partition_125 = 66109-67104
JTT+FC+BU{0.266493}, partition_126 = 67105-67692
JTT+FC+BU{2.287742}, partition_127 = 67693-68107
JTT+FC+BU{1.219667}, partition_128 = 68108-69063
JTT+FC+BU{1.591482}, partition_129 = 69064-69533
DAYHOFF+FC+BU{0.320113}, partition_130 = 69534-69816
JTT+FC+BU{1.726175}, partition_131 = 69817-70223
JTT+BU{0.997574}, partition_132 = 70224-70588
JTT+FC+BU{0.961882}, partition_133 = 70589-71137
JTT+FC+BU{1.632252}, partition_134 = 71138-72208
JTT+FC+BU{0.336662}, partition_135 = 72209-72495
LG+FC+BU{1.062732}, partition_136 = 72496-72848
JTT-DCMUT+FC+BU{1.234651}, partition_137 = 72849-73146
JTT-DCMUT+FC+BU{2.087269}, partition_138 = 73147-73614
LG+FC+BU{0.580666}, partition_139 = 73615-74196
JTT+FC+BU{0.345861}, partition_140 = 74197-74619
JTT+FC+BU{0.441117}, partition_141 = 74620-75322
JTT-DCMUT+FC+BU{0.992507}, partition_142 = 75323-76610
JTT+FC+BU{0.292849}, partition_143 = 76611-77570
JTT-DCMUT+FC+BU{0.283420}, partition_144 = 77571-78607
HIVB+FC+BU{1.955474}, partition_145 = 78608-78926
MTMAM+FC+BU{0.902616}, partition_146 = 78927-79232
JTT+FC+BU{0.553231}, partition_147 = 79233-79555
JTT+FC+BU{0.555393}, partition_148 = 79556-79920
JTT-DCMUT+FC+BU{1.439927}, partition_149 = 79921-80267
JTT+FC+BU{2.024516}, partition_150 = 80268-80530
JTT-DCMUT+FC+BU{1.437756}, partition_151 = 80531-80867
JTT+FC+BU{0.464061}, partition_152 = 80868-81837
JTT-DCMUT+FC+BU{0.474698}, partition_153 = 81838-82237
JTT+FC+BU{1.970884}, partition_154 = 82238-82694
