JTT+FC+BU{0.243927}, partition_0 = 1-2417
JTT+FC+BU{0.694103}, partition_1 = 2418-4687
JTT+FC+BU{2.077841}, partition_2 = 4688-5294
LG+FC+BU{0.991249}, partition_3 = 5295-5510
JTT+FC+BU{0.677442}, partition_4 = 5511-6878
JTT+FC+BU{0.445377}, partition_5 = 6879-7392
JTT+FC+BU{0.938987}, partition_6 = 7393-8332
WAG+FC+BU{2.298063}, partition_7 = 8333-8721
JTT+FC+BU{0.952899}, partition_8 = 8722-8961
JTT+FC+BU{1.683327}, partition_9 = 8962-9616
JTT+BU{1.922422}, partition_10 = 9617-9939
MTZOA+FC+BU{0.671274}, partition_11 = 9940-10225
JTT+FC+BU{0.415186}, partition_12 = 10226-11566
JTT+FC+BU{0.454229}, partition_13 = 11567-12852
JTT+FC+BU{0.207960}, partition_14 = 12853-13623
JTT-DCMUT+FC+BU{1.039555}, partition_15 = 13624-14196
LG+FC+BU{0.757834}, partition_16 = 14197-14755
JTT+FC+BU{0.527088}, partition_17 = 14756-15037
JTT+FC+BU{3.862019}, partition_18 = 15038-15550
JTT+FC+BU{0.565834}, partition_19 = 15551-16026
JTT+FC+BU{2.236016}, partition_20 = 16027-16344
JTT+FC+BU{0.567483}, partition_21 = 16345-17090
JTT+FC+BU{2.063060}, partition_22 = 17091-17614
MTZOA+FC+BU{0.378450}, partition_23 = 17615-17834
LG+FC+BU{1.408751}, partition_24 = 17835-18197
LG+FC+BU{1.304870}, partition_25 = 18198-18716
LG+FC+BU{2.075491}, partition_26 = 18717-18967
JTT+FC+BU{0.412366}, partition_27 = 18968-19568
JTT-DCMUT+FC+BU{1.365055}, partition_28 = 19569-20059
JTT+FC+BU{0.732584}, partition_29 = 20060-20454
JTT-DCMUT+FC+BU{1.914113}, partition_30 = 20455-20762
JTT+FC+BU{2.195062}, partition_31 = 20763-21103
JTT+FC+BU{0.957811}, partition_32 = 21104-22171
JTT-DCMUT+FC+BU{1.201043}, partition_33 = 22172-22848
JTT-DCMUT+FC+BU{0.265815}, partition_34 = 22849-23376
JTT+FC+BU{0.229083}, partition_35 = 23377-24582
JTT+FC+BU{1.688684}, partition_36 = 24583-25431
MTZOA+FC+BU{1.034172}, partition_37 = 25432-26066
JTT-DCMUT+FC+BU{1.089792}, partition_38 = 26067-26826
JTT-DCMUT+FC+BU{1.550093}, partition_39 = 26827-27320
JTT-DCMUT+FC+BU{0.639158}, partition_40 = 27321-28052
JTT-DCMUT+FC+BU{1.682153}, partition_41 = 28053-28305
JTT-DCMUT+FC+BU{1.515520}, partition_42 = 28306-28585
JTT+FC+BU{0.941126}, partition_43 = 28586-28792
JTT-DCMUT+BU{0.572426}, partition_44 = 28793-29097
JTT-DCMUT+FC+BU{1.031589}, partition_45 = 29098-29590
JTT+FC+BU{1.904040}, partition_46 = 29591-30223
JTT+FC+BU{0.546869}, partition_47 = 30224-31141
JTT+FC+BU{1.539659}, partition_48 = 31142-32098
LG+FC+BU{0.509660}, partition_49 = 32099-33095
JTT-DCMUT+FC+BU{1.391052}, partition_50 = 33096-33931
JTT-DCMUT+FC+BU{0.169526}, partition_51 = 33932-34315
LG+FC+BU{1.344887}, partition_52 = 34316-34535
JTT+FC+BU{0.569167}, partition_53 = 34536-34747
JTT-DCMUT+FC+BU{0.664112}, partition_54 = 34748-35296
JTT+FC+BU{0.621273}, partition_55 = 35297-35857
JTT+FC+BU{0.910343}, partition_56 = 35858-36589
JTT+FC+BU{1.152219}, partition_57 = 36590-38195
JTT-DCMUT+FC+BU{1.506106}, partition_58 = 38196-39066
JTT+FC+BU{1.373125}, partition_59 = 39067-39565
JTT+FC+BU{1.602301}, partition_60 = 39566-39957
JTT+FC+BU{0.638463}, partition_61 = 39958-40685
JTT+FC+BU{2.056776}, partition_62 = 40686-41283
JTT+FC+BU{0.474734}, partition_63 = 41284-41698
JTT+FC+BU{0.197498}, partition_64 = 41699-42641
JTT+BU{1.038414}, partition_65 = 42642-42913
JTT-DCMUT+FC+BU{2.084159}, partition_66 = 42914-43342
MTZOA+FC+BU{0.377109}, partition_67 = 43343-43908
LG+FC+BU{1.869985}, partition_68 = 43909-44366
JTT+BU{0.926613}, partition_69 = 44367-44767
JTT+FC+BU{0.858276}, partition_70 = 44768-45231
JTT+FC+BU{0.892971}, partition_71 = 45232-46270
JTT+FC+BU{0.185666}, partition_72 = 46271-46664
JTT-DCMUT+FC+BU{0.529874}, partition_73 = 46665-46989
JTT+FC+BU{0.734408}, partition_74 = 46990-47444
JTT+FC+BU{0.369685}, partition_75 = 47445-47827
JTT-DCMUT+FC+BU{2.067031}, partition_76 = 47828-48292
JTT+FC+BU{1.365910}, partition_77 = 48293-48519
JTT-DCMUT+FC+BU{1.753280}, partition_78 = 48520-48730
JTT+FC+BU{0.564990}, partition_79 = 48731-49906
JTT-DCMUT+FC+BU{0.957186}, partition_80 = 49907-50617
