JTT+FC+BU{0.370070}, partition_105 = 68744-69394
JTT-DCMUT+FC+BU{0.325623}, partition_106 = 69395-70307
HIVB+FC+BU{0.363478}, partition_107 = 70308-70944
MTZOA+FC+BU{0.131446}, partition_108 = 70945-71315
JTT+FC+BU{0.997403}, partition_109 = 71316-71726
JTT+FC+BU{0.269401}, partition_110 = 71727-72897
MTZOA+FC+BU{0.545233}, partition_111 = 72898-73446
JTT+FC+BU{0.283962}, partition_112 = 73447-74355
LG+FC+BU{2.171711}, partition_113 = 74356-74916
JTT-DCMUT+FC+BU{0.749428}, partition_114 = 74917-75529
DAYHOFF+FC+BU{1.543030}, partition_115 = 75530-75847
JTT+FC+BU{0.783354}, partition_116 = 75848-76381
HIVB+FC+BU{1.167055}, partition_117 = 76382-78989
JTT-DCMUT+FC+BU{1.119179}, partition_118 = 78990-79428
HIVB+FC+BU{1.077858}, partition_119 = 79429-79857
JTT+FC+BU{0.159026}, partition_120 = 79858-80464
LG+FC+BU{0.609402}, partition_121 = 80465-80959
HIVB+FC+BU{1.278883}, partition_122 = 80960-81417
JTT+FC+BU{0.819614}, partition_123 = 81418-82358
LG+FC+BU{0.985338}, partition_124 = 82359-82880
JTT+FC+BU{0.788232}, partition_125 = 82881-83800
JTT+FC+BU{0.358174}, partition_126 = 83801-84572
JTT+FC+BU{0.436267}, partition_127 = 84573-85777
LG+FC+BU{0.641390}, partition_128 = 85778-86254
LG+FC+BU{0.585649}, partition_129 = 86255-86719
LG+FC+BU{0.557261}, partition_130 = 86720-87082
JTT+FC+BU{0.342988}, partition_131 = 87083-87292
LG+FC+BU{1.158798}, partition_132 = 87293-87655
DAYHOFF+FC+BU{0.675814}, partition_133 = 87656-88041
JTT+FC+BU{0.884633}, partition_134 = 88042-89021
JTT+FC+BU{0.531309}, partition_135 = 89022-89831
JTT+FC+BU{0.691318}, partition_136 = 89832-91110
MTMAM+FC+BU{0.784571}, partition_137 = 91111-91987
JTT-DCMUT+FC+BU{1.540860}, partition_138 = 91988-93058
JTT-DCMUT+FC+BU{0.930162}, partition_139 = 93059-93376
JTT-DCMUT+FC+BU{0.333567}, partition_140 = 93377-93967
WAG+FC+BU{2.283185}, partition_141 = 93968-94900
JTT-DCMUT+FC+BU{1.013055}, partition_142 = 94901-95601
JTT-DCMUT+FC+BU{1.263033}, partition_143 = 95602-95714
JTT+FC+BU{0.583915}, partition_144 = 95715-96663
JTT+FC+BU{0.635408}, partition_145 = 96664-96993
JTT-DCMUT+FC+BU{1.288548}, partition_146 = 96994-97463
JTT+FC+BU{0.477416}, partition_147 = 97464-98564
JTT+FC+BU{0.598819}, partition_148 = 98565-99032
JTT+FC+BU{1.672813}, partition_149 = 99033-99279
JTT+FC+BU{0.553611}, partition_150 = 99280-100638
JTT+FC+BU{0.260923}, partition_151 = 100639-101183
MTZOA+FC+BU{0.129246}, partition_152 = 101184-101269
JTT-DCMUT+FC+BU{1.774573}, partition_153 = 101270-101925
JTT-DCMUT+FC+BU{0.335132}, partition_154 = 101926-102106
JTT+FC+BU{0.447715}, partition_155 = 102107-103366
JTT+FC+BU{0.865814}, partition_156 = 103367-104746
JTT+FC+BU{0.329170}, partition_157 = 104747-105992
JTT+FC+BU{1.079651}, partition_158 = 105993-106314
JTT+FC+BU{1.360083}, partition_159 = 106315-106697
JTT+FC+BU{0.576599}, partition_160 = 106698-107039
JTT-DCMUT+FC+BU{0.543537}, partition_161 = 107040-108203
JTT+FC+BU{0.460598}, partition_162 = 108204-108665
JTT-DCMUT+FC+BU{0.467030}, partition_163 = 108666-109336
CPREV+FC+BU{1.151575}, partition_164 = 109337-109598
JTT-DCMUT+FC+BU{0.549308}, partition_165 = 109599-110056
CPREV+FC+BU{0.423030}, partition_166 = 110057-110394
LG+FC+BU{1.048835}, partition_167 = 110395-110634
JTT+FC+BU{0.525655}, partition_168 = 110635-111140
MTZOA+FC+BU{1.175135}, partition_169 = 111141-111318
JTT+FC+BU{1.177839}, partition_170 = 111319-112753
JTT-DCMUT+FC+BU{1.269871}, partition_171 = 112754-113682
JTT+FC+BU{0.532327}, partition_172 = 113683-113824
JTT+FC+BU{0.852955}, partition_173 = 113825-114089
JTT+FC+BU{0.868615}, partition_174 = 114090-114856
JTT+FC+BU{2.961870}, partition_175 = 114857-115108
JTT+FC+BU{0.441426}, partition_176 = 115109-115892
JTT+FC+BU{0.859072}, partition_177 = 115893-116394
JTT+FC+BU{0.964322}, partition_178 = 116395-117353
JTT-DCMUT+FC+BU{1.323569}, partition_179 = 117354-117874
MTMAM+FC+BU{0.247764}, partition_180 = 117875-118569
JTT-DCMUT+FC+BU{1.423128}, partition_181 = 118570-118860
JTT+FC+BU{0.436692}, partition_182 = 118861-119627
JTT+FC+BU{0.421914}, partition_183 = 119628-120087
JTT+FC+BU{0.600044}, partition_184 = 120088-120639
JTT+FC+BU{1.058657}, partition_185 = 120640-120929
JTT+FC+BU{0.420502}, partition_186 = 120930-121990
JTT+FC+BU{0.304343}, partition_187 = 121991-122660
FLU+FC+BU{1.102954}, partition_188 = 122661-122800
JTT+FC+BU{0.268423}, partition_189 = 122801-123391
JTT+FC+BU{0.265385}, partition_190 = 123392-124790
