JTT+FC+BU{1.744558}, partition_0 = 1-672
JTT-DCMUT+FC+BU{0.763944}, partition_1 = 673-1606
JTT+FC+BU{0.776641}, partition_2 = 1607-1846
JTT+FC+BU{1.377075}, partition_3 = 1847-2498
JTT+BU{1.653406}, partition_4 = 2499-2845
JTT+BU{0.677252}, partition_5 = 2846-3205
JTT+FC+BU{1.679623}, partition_6 = 3206-3845
MTZOA+FC+BU{0.316857}, partition_7 = 3846-4066
LG+FC+BU{1.735098}, partition_8 = 4067-4322
JTT+FC+BU{2.411469}, partition_9 = 4323-4558
JTT-DCMUT+FC+BU{1.547976}, partition_10 = 4559-4871
JTT+FC+BU{1.864757}, partition_11 = 4872-5231
WAG+BU{2.303752}, partition_12 = 5232-5572
JTT-DCMUT+FC+BU{1.003629}, partition_13 = 5573-6255
JTT+FC+BU{0.678643}, partition_14 = 6256-7379
JTT+FC+BU{1.175844}, partition_15 = 7380-8127
JTT-DCMUT+FC+BU{0.927578}, partition_16 = 8128-8891
JTT-DCMUT+FC+BU{1.313637}, partition_17 = 8892-9400
JTT+FC+BU{0.788729}, partition_18 = 9401-9608
JTT+FC+BU{0.451098}, partition_19 = 9609-10547
LG+FC+BU{0.947661}, partition_20 = 10548-10832
JTT+FC+BU{0.501567}, partition_21 = 10833-11348
JTT+FC+BU{0.479623}, partition_22 = 11349-11560
JTT-DCMUT+FC+BU{0.560951}, partition_23 = 11561-12118
JTT+FC+BU{0.762645}, partition_24 = 12119-12900
JTT+BU{0.878562}, partition_25 = 12901-13195
JTT+FC+BU{1.768813}, partition_26 = 13196-13638
JTT+FC+BU{1.993462}, partition_27 = 13639-14720
JTT+BU{0.766273}, partition_28 = 14721-15125
JTT+FC+BU{0.686894}, partition_29 = 15126-15602
DAYHOFF+FC+BU{0.158364}, partition_30 = 15603-15997
JTT+FC+BU{0.616317}, partition_31 = 15998-16454
HIVB+FC+BU{0.304575}, partition_32 = 16455-16842
JTT-DCMUT+FC+BU{1.707552}, partition_33 = 16843-17324
JTT+FC+BU{1.120176}, partition_34 = 17325-17559
JTT+FC+BU{1.491279}, partition_35 = 17560-18034
JTT-DCMUT+FC+BU{0.800764}, partition_36 = 18035-18750
HIVB+FC+BU{2.248173}, partition_37 = 18751-19261
JTT+FC+BU{1.573148}, partition_38 = 19262-19582
JTT-DCMUT+BU{0.646604}, partition_39 = 19583-20094
JTT+FC+BU{0.866892}, partition_40 = 20095-20502
JTT-DCMUT+FC+BU{1.141907}, partition_41 = 20503-20941
JTT+FC+BU{0.941017}, partition_42 = 20942-21219
JTT+FC+BU{1.730030}, partition_43 = 21220-21798
JTT-DCMUT+FC+BU{1.234043}, partition_44 = 21799-22301
JTT+FC+BU{0.512937}, partition_45 = 22302-23035
JTT-DCMUT+FC+BU{1.999073}, partition_46 = 23036-23361
JTT+FC+BU{0.498546}, partition_47 = 23362-23738
JTT-DCMUT+FC+BU{0.238074}, partition_48 = 23739-24092
HIVB+FC+BU{1.347982}, partition_49 = 24093-25288
JTT+FC+BU{0.751037}, partition_50 = 25289-25810
JTT+FC+BU{0.668110}, partition_51 = 25811-26137
JTT-DCMUT+FC+BU{2.361471}, partition_52 = 26138-26872
JTT+FC+BU{0.896432}, partition_53 = 26873-27618
HIVB+FC+BU{0.877468}, partition_54 = 27619-28423
JTT-DCMUT+FC+BU{0.457223}, partition_55 = 28424-28800
JTT+FC+BU{2.100112}, partition_56 = 28801-29366
JTT+FC+BU{0.591682}, partition_57 = 29367-29759
JTT+FC+BU{1.010692}, partition_58 = 29760-30437
JTT+FC+BU{0.620032}, partition_59 = 30438-30830
JTT-DCMUT+FC+BU{1.386301}, partition_60 = 30831-31522
JTT-DCMUT+FC+BU{0.596558}, partition_61 = 31523-32248
WAG+FC+BU{0.409241}, partition_62 = 32249-32753
JTT-DCMUT+FC+BU{0.772401}, partition_63 = 32754-33141
MTZOA+FC+BU{0.442175}, partition_64 = 33142-33535
HIVB+FC+BU{1.168503}, partition_65 = 33536-33887
JTT-DCMUT+FC+BU{1.327604}, partition_66 = 33888-34114
JTT+FC+BU{1.204452}, partition_67 = 34115-34904
JTT-DCMUT+FC+BU{0.897141}, partition_68 = 34905-35578
JTT-DCMUT+FC+BU{1.003229}, partition_69 = 35579-35810
JTT-DCMUT+FC+BU{0.934613}, partition_70 = 35811-36062
JTT-DCMUT+FC+BU{1.743355}, partition_71 = 36063-36531
JTT-DCMUT+FC+BU{0.624126}, partition_72 = 36532-36881
JTT+FC+BU{0.997175}, partition_73 = 36882-37916
LG+BU{0.998814}, partition_74 = 37917-38318
JTT-DCMUT+FC+BU{0.975020}, partition_75 = 38319-38999
LG+FC+BU{1.527270}, partition_76 = 39000-39400
HIVB+FC+BU{0.092216}, partition_77 = 39401-39617
JTT+FC+BU{0.740052}, partition_78 = 39618-39959
JTT+FC+BU{1.878603}, partition_79 = 39960-40352
JTT+FC+BU{2.136208}, partition_80 = 40353-41351
JTT+FC+BU{0.335569}, partition_81 = 41352-41850
LG+FC+BU{1.488736}, partition_82 = 41851-42213
JTT+FC+BU{1.417185}, partition_83 = 42214-42637
JTT-DCMUT+BU{0.828060}, partition_84 = 42638-43018
JTT+FC+BU{1.047100}, partition_85 = 43019-43485
JTT+FC+BU{0.276672}, partition_86 = 43486-43780
JTT-DCMUT+FC+BU{1.007887}, partition_87 = 43781-44084
JTT+FC+BU{2.142680}, partition_88 = 44085-45082
